Treatment Baskets for Chronic Disease List (CDL) conditions,,,,,,,,,,,,,,,,,,,,
CONDITION,,DIAGNOSTIC BASKET,,,,,,,,ONGOING MANAGEMENT BASKET,,,,,,,,,,
,,Central corneal thickness measurement,,,,3020 or,,2,,Retinal threshold trend evaluation,,3018,,1,,,,,,
,,,,,,*11702,,(1 per eye),,,,,,,,,,,,
Haemophilia,,Full blood count,,,,3755,,1,,Full blood count,,3755,,1,,2,,,,
,,Platelet count,,,,3797,,1,,Platelet count,,3797,,1,,,,,,
,,Factor VIII or Factor IX antigen or Coagulation factors,,,,3758 or,,1,,Factor VIII or Factor IX inhibitors,,3724,,1,,,,,,
,,,,,,3757,,,,,,,,,,,,,,
,,Fibrinogen titre,,,,3825,,1,,,,,,,,,,,,
,,Bleeding time,,,,3713,,1,,,,,,,,,,,,
,,PTT - Partial thromboplastin time,,,,3837,,1,,,,,,,,,,,,
,,Thrombin time,,,,3841,,1,,,,,,,,,,,,
,,Therapeutic drug level: Dosage,,,,3806,,1,,,,,,,,,,,,
Hyperlipidaemia,,Total cholesterol,,,,4027,,1,,Total cholesterol,,4027,,1,,0,,,,
,,LDL cholesterol,,,,4026,,1,,LDL cholesterol,,4026,,1,,,,,,
,,HDL cholesterol,,,,4028,,1,,HDL cholesterol,,4028,,1,,,,,,
,,Triglycerides,,,,4147,,1,,Triglycerides,,4147,,1,,,,,,
,,Thyrotropin (TSH),,,,4507,,1,,AST Ð Aspartate aminotransferase,,4130,,1,,,,,,
,,,,,,,,,,ALT Ð Alanine aminotransferase,,4131,,1,,,,,,
Hypertension,,ECG Ð,,,,1232 or,,1,,ECG Ð,,1232 or,,1,,1,,,,
,,Electrocardiogram,,,,1233,,,,Electrocardiogram,,1233,,,,,,,,
,,Glucose Ð,,,,4057,,1,,Glucose Ð,,4057,,1,,,,,,
,,random/fasting,,,,,,,,random/fasting,,,,,,,,,,
,,Total cholesterol,,,,4027,,1,,Total cholesterol,,4027,,1,,,,,,
,,Creatinine,,,,4032 or,,1,,Creatinine,,4032 or,,1,,,,,,
,,,,,,4221 or,,,,,,4221 or,,,,,,,,
,,,,,,4223,,,,,,4223,,,,,,,,
,,,,,,,,,,Potassium,,4113,,1,,,,,,
TREATMENT BASKETS FOR THE CHRONIC DISEASE LIST (CDL) CONDITIONS,,,,,,,,,,,,,,,,,,,,
CONDITION,,DIAGNOSTIC BASKET,,,,,,,,ONGOING MANAGEMENT BASKET,,,,,,,,,,
,,PROCEDURE OR TEST DESCRIPTION,,,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,PROCEDURE OR TEST DESCRIPTION,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,NUMBER OF SPECIALISTS WE COVER EACH YEAR,,,,
Hypertension,,Urine analysis (dipstick),,,,4188,,1,,Urine analysis (dipstick),,4188,,1,,,,,,
,,U & E only,,,,4171,,1,,U & E only,,4171,,1,,,,,,
,,24 Hour ambulatory blood pressure,,,,1237,,1,,24 Hour ambulatory blood pressure,,1237,,1,,,,,,
Hypothyroidism,,Free thyroxine (FT4),,,,4482,,1,,Free thyroxine (FT4),,4482,,2,,0,,,,
,,Thyrotropin (TSH),,,,4507,,1,,Thyrotropin (TSH),,4507,,2,,,,,,
,,Total cholesterol,,,,4027,,1,,,,,,,,,,,,
Multiple sclerosis,,MR of the lumbar spine pre and post contrast or uncontrasted,,,,53420 or,,1,,MR of the lumbar spine pre and post contrast or uncontrasted,,53420 or,,1,,2,,,,
,,,,,,53410 or,,,,,,53410 or,,,,,,,,
,,,,,,53400,,,,,,53400,,,,,,,,
,,MR of the brain pre and post contrast or uncontrasted,,,,10430 or,,1,,MR of the brain pre and post contrast or uncontrasted,,10430 or,,1,,,,,,
,,,,,,10410,,,,,,10410,,,,,,,,
,,MR of the cervical spine and cranio- cervical junction pre and post contrast or uncontrasted,,,,51420 or,,1,,MR of the cervical spine and cranio- cervical junction pre and post contrast or uncontrasted,,51420 or,,1,,,,,,
,,,,,,51410 or,,,,,,51410 or,,,,,,,,
,,,,,,51400,,,,,,51400,,,,,,,,
,,MR of the thoracic spine pre and post contrast or uncontrasted,,,,52420 or,,1,,MR of the thoracic spine pre and post contrast or uncontrasted,,52420 or,,1,,,,,,
,,,,,,52410 or,,,,,,52410 or,,,,,,,,
,,,,,,52400,,,,,,52400,,,,,,,,
,,Visual evoked potentials (VEP): Bilateral,,,,2682,,1,,ALT Ð Alanine aminotransferase,,4131,,1,,,,,,
,,Visual evoked potentials (VEP): Unilateral,,,,2681,,1,,AST Ð Aspartate aminotransferase,,4130,,1,,,,,,
,,CSF-IgG Index,,,,4036,,1,,,,,,,,,,,,
ParkinsonÕs,,No diagnostic or monitoring tests apply as the diagnosis of this condition remains a clinical one,,,,,,,,,,,,,,2,,,,
disease,,,,,,,,,,,,,,,,,,,,
Rheumatoid arthritis,,Erythrocyte sedimentation rate or C-reactive protein,,,,3743 or,,1,,Erythrocyte sedimentation rate or C-reactive protein,,3743 or,,4,,4,,,,
,,,,,,3947,,,,,,3947,,,,,,,,
,,Full blood count,,,,3755,,1,,Full blood count,,3755,,2,,,,,,
TREATMENT BASKETS FOR THE CHRONIC DISEASE LIST (CDL) CONDITIONS,,,,,,,,,,,,,,,,,,,,
CONDITION,,DIAGNOSTIC BASKET,,,,,,,,ONGOING MANAGEMENT BASKET,,,,,,,,,,
,,PROCEDURE OR TEST DESCRIPTION,,,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,PROCEDURE OR TEST DESCRIPTION,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,NUMBER OF SPECIALISTS WE COVER EACH YEAR,,,,
Rheumatoid arthritis,,AST Ð Aspartate aminotransferase,,,,4130,,1,,AST Ð Aspartate aminotransferase,,4130,,4,,,,,,
,,Platelet count,,,,3797,,1,,Platelet count,,3797,,2,,,,,,
,,ALT Ð Alanine aminotransferase,,,,4131,,1,,ALT Ð Alanine aminotransferase,,4131,,4,,,,,,
,,U & E only,,,,4171,,1,,U & E only,,4171,,1,,,,,,
,,Urine analysis (dipstick),,,,4188,,1,,Urine analysis (dipstick),,4188,,4,,,,,,
,,X-ray of the left foot or left ankle,,,,74120 or,,4,,X-ray of the left foot or left ankle,,74120 or,,4,,,,,,
,,,,,,74100,,,,,,74100,,,,,,,,
,,X-ray of the right foot or right ankle,,,,74125 or,,,,X-ray of the right foot or right ankle,,74125 or,,,,,,,,
,,,,,,74105,,,,,,74105,,,,,,,,
,,X-ray of the right hand or right wrist,,,,65105 or,,,,X-ray of the right hand or right wrist,,65105 or,,,,,,,,
,,,,,,65135,,,,,,65135,,,,,,,,
,,X-ray of the left hand or left wrist,,,,65100 or,,,,X-ray of the left hand or left wrist,,65100 or,,,,,,,,
,,,,,,65130,,,,,,65130,,,,,,,,
,,X-ray of the left hip,,,,56100,,,,X-ray of the left hip,,56100,,,,,,,,
,,X-ray of the right hip,,,,56110,,,,X-ray of the right hip,,56110,,,,,,,,
,,X-ray of the left shoulder,,,,61130,,,,X-ray of the left shoulder,,61130,,,,,,,,
,,X-ray of the right shoulder,,,,61135,,,,X-ray of the right shoulder,,61135,,,,,,,,
,,X-ray of the left elbow,,,,63100,,,,X-ray of the left elbow,,63100,,,,,,,,
,,X-ray of the right elbow,,,,63105,,,,X-ray of the right elbow,,63105,,,,,,,,
,,X-ray of the left knee,,,,72100,,,,X-ray of the left knee,,72100,,,,,,,,
,,X-ray of the right knee,,,,72105,,,,X-ray of the right knee,,72105,,,,,,,,
,,"X-ray of the chest two views, PA and lateral",,,,30110,,1,,"X-ray of the chest two views, PA and lateral",,30110,,1,,,,,,
,,Anti-CCP,,,,4600,,1,,,,,,,,,,,,
,,Anti-Nuclear Factor (ANF),,,,3934,,1,,,,,,,,,,,,
,,Rheumatoid factor,,,,3959 or,,1,,,,,,,,,,,,
,,,,,,4182,,,,,,,,,,,,,,
TREATMENT BASKETS FOR THE CHRONIC DISEASE LIST (CDL) CONDITIONS,,,,,,,,,,,,,,,,,,,,
CONDITION,,DIAGNOSTIC BASKET,,,,,,,,ONGOING MANAGEMENT BASKET,,,,,,,,,,
,,PROCEDURE OR TEST DESCRIPTION,,,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,PROCEDURE OR TEST DESCRIPTION,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,NUMBER OF SPECIALISTS WE COVER EACH YEAR,,,,
Juvenile Rheumatoid arthritis,,"In addition to above, the below is available for members less than 18 years old",,,,,,,,,,,,,,1 Ophthal- mologist visit for > 10 years,,,,
,,Erythrocyte sedimentation rate or C-reactive protein,,,,3743 or,,1,,Erythrocyte sedimentation rate or C-reactive protein,,3743 or,,2,,OR,,,,
,,,,,,3947,,,,,,3947,,,,2 Ophthal- mologist visit for < 10 years,,,,
,,Ultrasound of the right wrist or left wrist,,,,65210 or,,1,,Ultrasound of the right wrist or left wrist,,65210 or,,1,,,,,,
,,,,,,65200,,,,,,65200,,,,,,,,
,,Ultrasound of the right foot or right ankle,,,,74225 or,,,,Ultrasound of the right foot or right ankle,,74225 or,,,,,,,,
,,,,,,74215,,,,,,74215,,,,,,,,
,,Ultrasound of the left foot or left ankle,,,,74220 or,,,,Ultrasound of the left foot or left ankle,,74220 or,,,,,,,,
,,,,,,74210,,,,,,74210,,,,,,,,
,,Ultrasound of the Hip joints,,,,56200,,,,Ultrasound of the Hip joints,,56200,,,,,,,,
,,Ultrasound of the left shoulder joint,,,,61200,,,,Ultrasound of the left shoulder joint,,61200,,,,,,,,
,,Ultrasound of the right shoulder joint,,,,61210,,,,Ultrasound of the right shoulder joint,,61210,,,,,,,,
,,Ultrasound of the left elbow joint,,,,63200,,,,Ultrasound of the left elbow joint,,63200,,,,,,,,
,,Ultrasound of the right elbow joint,,,,63205,,,,Ultrasound of the right elbow joint,,63205,,,,,,,,
,,Ultrasound of the left knee joint,,,,72200,,,,Ultrasound of the left knee joint,,72200,,,,,,,,
,,Ultrasound of the right knee joint,,,,72205,,,,Ultrasound of the right knee joint,,72205,,,,,,,,
,,"Ultrasound of the tempero- mandibular joints, one or both sides",,,,15200,,,,"Ultrasound of the tempero- mandibular joints, one or both sides",,15200,,,,,,,,
,,Ultrasound of any joint,,,,5102,,,,Ultrasound of any joint,,5102,,,,,,,,
Schizophrenia,,,,,,,,,,AST Ð Aspartate aminotransferase,,4130,,2,,4,,,,
,,,,,,,,,,ALT Ð Alanine aminotransferase,,4131,,2,,,,,,
,,,,,,,,,,Creatinine,,4032 or,,2,,,,,,
,,,,,,,,,,,,4221 or,,,,,,,,
,,,,,,,,,,,,4223,,,,,,,,
TREATMENT BASKETS FOR THE CHRONIC DISEASE LIST (CDL) CONDITIONS,,,,,,,,,,,,,,,,,,,,
CONDITION,,DIAGNOSTIC BASKET,,,,,,,,ONGOING MANAGEMENT BASKET,,,,,,,,,,
,,PROCEDURE OR TEST DESCRIPTION,,,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,PROCEDURE OR TEST DESCRIPTION,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,NUMBER OF SPECIALISTS WE COVER EACH YEAR,,,,
Schizophrenia,,,,,,,,,,Drug level in biological fluid,,4081 or,,3,,,,,,
,,,,,,,,,,,,4370 or,,,,,,,,
,,,,,,,,,,,,4493,,,,,,,,
Systemic lupus erythematosus,,Complement fixation test,,,,3963 or,,1,,Complement fixation test,,3963 or,,2,,4,,,,
,,,,,,4182,,,,,,4182,,,,,,,,
,,Creatinine,,,,4032 or,,1,,Creatinine,,4032 or,,4,,,,,,
,,,,,,4221 or,,,,,,4221 or,,,,,,,,
,,,,,,4223,,,,,,4223,,,,,,,,
,,Extractable nuclear antigens,,,,3934 or,,2,,Antiglobulin test (Coombs),,3709,,2,,,,,,
,,,,,,3948,,,,,,,,,,,,,,
,,Full blood count,,,,3755,,1,,Full blood count,,3755,,4,,,,,,
,,Urine analysis (dipstick),,,,4188,,1,,Urine analysis (dipstick),,4188,,4,,,,,,
,,U & E only,,,,4171,,1,,U & E only,,4171,,4,,,,,,
,,Platelet count,,,,3797,,1,,Platelet count,,3797,,1,,,,,,
,,Erythrocyte sedimentation rate or C-reactive protein,,,,3743 or,,1,,Erythrocyte sedimentation rate or C-reactive protein,,3743 or,,4,,,,,,
,,,,,,3947,,,,,,3947,,,,,,,,
,,Anti-Nuclear Factor (ANF),,,,3934,,1,,ALT Ð Alanine aminotransferase,,4131,,4,,,,,,
,,Kidney biopsy,,,,1841,,1,,Creatinine kinase,,4152 or,,2,,,,,,
,,,,,,,,,,,,4153,,,,,,,,
,,Urine microscopy,,,,3867,,1,,AST Ð Aspartate aminotransferase,,4130,,4,,,,,,
,,Skin biopsy,,,,0233 &,,1,,Total cholesterol,,4027,,1,,,,,,
,,,,,,0234 &,,,,,,,,,,,,,,
,,,,,,0235 &,,,,,,,,,,,,,,
,,,,,,237,,,,,,,,,,,,,,
,,"X-ray of the chest two views, PA and lateral",,,,30110,,1,,"X-ray of the chest two views, PA and lateral",,30110,,1,,,,,,
,,DNA antibodies,,,,4529 or,,2,,,,,,,,,,,,
,,,,,,3948,,,,,,,,,,,,,,
,,Histology,,,,4567 &,,3,,,,,,,,,,,,
,,,,,,4571,,,,,,,,,,,,,,
,,,,,,or 4582 &,,,,,,,,,,,,,,
,,,,,,4584,,,,,,,,,,,,,,
Ulcerative colitis,,Colonoscopy,,,,1653 or,,1,,Colonoscopy,,1653 or,,1,,3,,,,
,,,,,,1656,,,,,,1656,,,,,,,,
TREATMENT BASKETS FOR THE CHRONIC DISEASE LIST (CDL) CONDITIONS,,,,,,,,,,,,,,,,,,,,
CONDITION,,DIAGNOSTIC BASKET,,,,,,,,ONGOING MANAGEMENT BASKET,,,,,,,,,,
,,PROCEDURE OR TEST DESCRIPTION,,,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,PROCEDURE OR TEST DESCRIPTION,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,NUMBER OF SPECIALISTS WE COVER EACH YEAR,,,,
Ulcerative colitis,,C-reactive protein,,,,3947,,1,,C-reactive protein,,3947,,2,,,,,,
,,Full blood count,,,,3755,,1,,Full blood count,,3755,,2,,,,,,
,,Histology,,,,4567 &,,3,,Histology,,4567 &,,1,,,,,,
,,,,,,4571,,,,,,4571,,,,,,,,
,,,,,,or 4582 &,,,,,,or 4582 &,,,,,,,,
,,,,,,4584,,,,,,4584,,,,,,,,
,,,,,,,,,,Flexible sigmoidoscopy,,1676,,1,,,,,,
,,,,,,,,,,Faecal Calprotectin (Elastase Quantitative ELISA),,4362,,1,,,,,,
